Area,Habitaciones,Precio
96,6,626688
479,2,2258964
524,6,7709088
536,3,2633904
542,4,4904016
140,5,1307600
41,1,48544
103,7,586173
519,3,3574872
193,4,1576424
87,4,341388
147,2,189924
110,1,106260
117,6,1053702
505,5,3865775
301,6,3521700
178,5,527770
590,7,6954920
202,5,2376530
404,3,1367136
483,2,2302944
451,2,1951928
162,4,1051056
524,6,5234760
266,5,3007130
231,1,429660
357,7,4958016
390,7,3557190
361,5,3014350
520,7,2071160
594,7,2997918
193,5,1550755
376,6,3584784
528,2,2316864
195,4,513240
188,4,684320
555,5,4206900
391,7,2030854
274,5,1982390
147,6,1722546
528,6,6880896
544,3,1217472
585,1,544050
306,5,1110780
215,3,397320
43,5,521160
470,3,3082260
149,2,660070
304,6,4279104
550,7,8828050
415,2,730400
104,4,609024
110,6,919380
259,7,2927995
231,3,1135134
105,2,141750
472,3,916152
104,3,235872
196,7,1252636
297,5,2439855
336,2,1555008
82,2,171216
461,7,5502035
386,1,648866
544,7,3613792
560,7,3480960
323,3,857565
138,5,1582170
473,4,970596
43,7,300097
550,4,3469400
338,2,1512212
99,6,716958
592,5,6053200
189,5,2185785
272,7,4089792
585,2,2569320
122,7,2103402
494,4,3789968
314,2,347284
514,1,805438
537,5,3826125
485,4,2999240
166,3,514434
556,4,3458320
194,6,1834464
350,4,3159800
547,4,2813768
111,6,504162
574,5,3897460
147,4,726768
345,2,770040
179,2,868508
489,1,780933
422,5,4304400
474,3,2242494
149,3,868521
218,1,492026
526,6,2105052
63,1,146097
167,7,2307606
501,7,1897287
392,6,1916880
61,6,200934
515,5,4799800
254,1,456946
567,5,5485725
275,1,529375
84,4,746592
107,7,993174
43,3,150543
125,7,1869000
254,6,1656588
598,7,10192910
287,2,864444
464,6,5542944
458,4,1313544
34,3,139638
427,4,3137596
495,1,711810
36,5,385920
121,2,406802
464,5,5069200
372,5,4021320
281,7,2922962
170,5,1325150
508,1,1230376
172,1,144480
439,2,699766
187,4,1069640
63,3,102438
120,1,238200
